"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1626.7773577627
"FDW14","OUT017",1442.66999340901
"NCN55","OUT010",1170.58196297939
"FDQ58","OUT017",2510.93345632422
"FDY38","OUT027",5533.85699080026
"FDH56","OUT046",1840.13734425785
"FDL48","OUT018",613.101162546407
"FDC48","OUT027",2222.0460213141
"FDN33","OUT045",1526.32873537943
"FDA36","OUT017",3153.12179703901
"FDT44","OUT017",1946.4653801614
"FDQ56","OUT045",1359.846949636
"NCC54","OUT019",1684.231619057
"FDU11","OUT049",2100.30660327824
"DRL59","OUT013",805.863330430421
"FDM24","OUT049",2535.87224892793
"FDI57","OUT045",3016.19394616782
"DRC12","OUT018",2816.47104571649
"NCM42","OUT027",2742.08618219748
"FDA46","OUT010",800.636052396893
"FDA31","OUT013",2925.17171629877
"NCJ31","OUT035",3973.60544566484
"FDG52","OUT046",915.01961874162
"NCL19","OUT019",433.074728318479
"FDS10","OUT035",2942.97620572655
"FDX22","OUT010",1107.35773320278
"NCF19","OUT035",877.549075281067
"NCE06","OUT046",2295.6198721175
"DRC27","OUT046",3585.55410591528
"FDE21","OUT035",1917.575738127
"NCR42","OUT019",-300.302463136231
"FDX51","OUT018",2803.81602699122
"NCR06","OUT018",527.539119808381
"FDU31","OUT027",5090.84020657509
"FDU59","OUT017",2667.58325960724
"FDR03","OUT027",5239.80515429395
"FDS49","OUT027",2222.0460213141
"FDD48","OUT010",389.650031480892
"NCF18","OUT017",3153.12179703901
"NCD43","OUT027",2655.64049340699
"NCD54","OUT018",1957.09205049769
"FDY19","OUT010",389.650031480892
"NCY54","OUT017",2869.73684799988
"NCL19","OUT018",2125.8007532667
"FDP23","OUT010",849.190724939219
"FDC26","OUT013",1860.03106163132
"FDR14","OUT010",-283.736760639424
"NCS41","OUT035",3168.76645992281
"FDF41","OUT035",3978.21105248152
"FDU34","OUT046",1925.20898531182
"DRH11","OUT046",1024.33272007494
"FDM03","OUT013",1662.21490923731
"FDS31","OUT017",2927.33154284275
"FDJ20","OUT017",2025.00716036242
"FDV44","OUT027",4878.36142460101
"FDG02","OUT049",3451.98637049025
"FDA09","OUT013",2925.17171629877
"FDT04","OUT013",690.313134576275
"FDL58","OUT019",820.456178954508
"FDE52","OUT045",1460.93168993347
"FDW12","OUT035",2501.30827702811
"FDL51","OUT017",3518.19215783458
"NCY42","OUT027",3364.50369938439
"FDR07","OUT017",1629.90197138833
"FDN40","OUT045",2330.94248601442
"FDB35","OUT027",2393.99456212942
"FDA22","OUT017",2726.86382704857
"NCL06","OUT046",4191.29833924421
"FDI35","OUT013",2992.98528371196
"NCW42","OUT045",3548.62525751059
"NCX06","OUT049",3232.85356608188
"FDC37","OUT027",2655.64049340699
"FDZ14","OUT018",1805.61435133554
"DRG49","OUT049",4193.59782733407
"NCG06","OUT045",3897.55187760494
"DRC36","OUT045",2653.37091192314
"FDV21","OUT019",415.408684257465
"FDB53","OUT046",2138.97006883449
"DRP47","OUT019",1574.34322630528
"FDA14","OUT013",2425.50793871032
"DRC24","OUT035",2526.57811920802
"FDW21","OUT018",1315.42322774903
"NCH29","OUT046",1642.40877763119
"FDU58","OUT013",3176.0164644183
"FDY27","OUT017",2859.51797542956
"FDV56","OUT035",1777.37848056982
"FDT59","OUT046",3562.67178619703
"FDB23","OUT046",3363.55349187807
"FDR49","OUT045",732.043651928658
"FDB03","OUT010",1170.58196297939
"FDN39","OUT045",2487.59228929744
"FDX02","OUT027",5231.32842746842
"FDQ16","OUT027",2655.64049340699
"FDU35","OUT018",1326.86770968567
"NCT29","OUT013",2010.98196170243
"FDZ27","OUT046",915.01961874162
"FDN57","OUT017",2194.64351216253
"FDA03","OUT018",2125.8007532667
"FDZ36","OUT045",2928.63636526965
"NCU05","OUT013",1299.53076781849
"FDT39","OUT018",2125.8007532667
"FDK60","OUT017",1629.90197138833
"FDZ25","OUT017",2735.45509799737
"FDG12","OUT046",1908.69457822093
"DRB01","OUT019",822.064482899287
"NCC43","OUT027",5809.10350191085
"FDX13","OUT019",2249.05805280203
"FDM22","OUT049",830.201003412337
"FDJ03","OUT027",1728.37858392603
"FDU14","OUT018",3554.56903622315
"FDB33","OUT010",750.921980371224
"FDP27","OUT046",2753.20728522517
"FDO38","OUT010",59.0674413226781
"FDE28","OUT027",5605.1857091622
"FDO27","OUT035",1645.54663427214
"DRL23","OUT027",2655.64049340699
"FDS28","OUT046",1024.33272007494
"FDX24","OUT013",1511.26893710573
"FDZ02","OUT035",1645.54663427214
"FDL46","OUT045",1824.06896783249
"FDS60","OUT027",4613.10609775866
"NCO06","OUT017",695.19220448307
"FDO16","OUT035",1458.31465629282
"FDC60","OUT049",1272.63443022679
"FDA48","OUT018",3195.42245700613
"FDZ36","OUT027",4878.36142460101
"FDK27","OUT045",1902.61074803351
"FDW23","OUT018",527.539119808381
"FDM14","OUT018",1481.9734737916
"FDM14","OUT013",1662.21490923731
"FDW60","OUT018",2713.4882420766
"FDE21","OUT013",1870.03467926498
"NCM42","OUT035",1777.37848056982
"FDY59","OUT010",236.455769772436
"DRI49","OUT049",1201.77062970894
"FDT28","OUT019",500.483688055476
"FDQ22","OUT018",527.539119808381
"FDR60","OUT049",1201.77062970894
"FDC50","OUT019",352.749639673689
"FDV24","OUT013",2425.50793871032
"DRF48","OUT010",830.722054129509
"FDQ47","OUT046",786.972950221462
"DRN36","OUT049",1459.03268722803
"NCY06","OUT035",2057.16623033711
"FDE52","OUT035",1559.39939659029
"NCB54","OUT045",1919.1251551244
"NCF31","OUT035",2526.57811920802
"FDJ08","OUT027",4860.93044159366
"NCC07","OUT017",1733.68315426532
"NCD19","OUT027",1821.13786972376
"FDL46","OUT049",2003.89362575899
"FDM20","OUT045",3603.80791500471
"NCI06","OUT010",774.476878970382
"DRM11","OUT035",4192.58195838753
"NCH07","OUT018",2467.0131819834
"FDS23","OUT013",2027.49636879331
"FDO49","OUT018",613.101162546407
"FDS35","OUT049",974.139997383031
"DRK39","OUT045",1359.846949636
"DRI39","OUT049",846.75481894793
"FDV04","OUT017",2667.58325960724
"NCN14","OUT035",3080.32863606055
"FDH08","OUT013",3998.67043533602
"FDS20","OUT046",2770.63826823252
"FDV40","OUT049",994.937921441131
"FDZ48","OUT010",348.380507495794
"FDS24","OUT027",2292.90982183195
"FDK44","OUT049",3243.0724386522
"FDS48","OUT045",2330.94248601442
"FDK26","OUT010",830.722054129509
"FDD23","OUT045",2928.63636526965
"NCH54","OUT017",2667.58325960724
"NCP14","OUT010",240.225286823012
"FDM60","OUT010",-357.688847853897
"FDV24","OUT017",2510.93345632422
"FDH08","OUT018",3325.20108873437
"FDS12","OUT027",3180.99609847699
"FDR39","OUT027",4747.40126119727
"FDP12","OUT027",1529.91769373005
"DRF60","OUT027",5713.5100650893
"FDC09","OUT035",1749.32781714912
"FDF50","OUT018",2803.25565665254
"FDG28","OUT035",4044.69625728207
"NCE19","OUT017",983.303082331247
"NCM53","OUT010",240.225286823012
"NCN18","OUT049",1793.32760380527
"FDF32","OUT035",3461.97260553131
"FDF11","OUT013",3968.58328178458
"DRI59","OUT049",3915.68879622739
"NCG54","OUT035",2751.09976088117
"FDM44","OUT046",1636.55125971675
"FDT57","OUT018",3449.84766052081
"FDV24","OUT046",2138.97006883449
"FDI50","OUT019",1391.7392266283
"FDS09","OUT035",877.549075281067
