"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","Item_Visibility_MeanRatio","Item_Type_Combined","Outlet_Years"
"FDA15",9.3,"Low Fat",0.016047301,"Dairy",249.8092,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3735.138,0.931077954376108,"Food",14
"DRC01",5.92,"Regular",0.019278216,"Soft Drinks",48.2692,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",443.4228,0.776983928947074,"Drinks",4
"FDN15",17.5,"Low Fat",0.016760075,"Meat",141.618,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2097.27,0.91923886227275,"Food",14
"FDX07",19.2,"Regular",0.022929863,"Fruits and Vegetables",182.095,"OUT010",1998,"Small","Tier 3","Grocery Store",732.38,0.699842864303201,"Food",15
"NCD19",8.93,"Non-Edible",0.0146697428333333,"Household",53.8614,"OUT013",1987,"High","Tier 3","Supermarket Type1",994.7052,1.09390472500557,"Non-Consumable",26
"FDP36",10.395,"Regular",0.0652099301428571,"Baking Goods",51.4008,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",556.6088,0.246086768761211,"Food",4
"FDO10",13.65,"Regular",0.012741089,"Snack Foods",57.6588,"OUT013",1987,"High","Tier 3","Supermarket Type1",343.5528,1.50856672174997,"Food",26
"FDP10",12.8657320024198,"Low Fat",0.127469857,"Snack Foods",107.7622,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4022.7636,0.109587173146595,"Food",28
"FDH17",16.2,"Regular",0.016687114,"Frozen Foods",96.9726,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1076.5986,0.888726444857347,"Food",11
"FDU28",19.2,"Regular",0.09444959,"Frozen Foods",187.8214,"OUT017",2007,"Small","Tier 2","Supermarket Type1",4710.535,0.163783940184929,"Food",6
"FDY07",11.8,"Low Fat",0.073127744,"Fruits and Vegetables",45.5402,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1516.0266,0.219442035569975,"Food",14
"FDA03",18.5,"Regular",0.045463773,"Dairy",144.1102,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2187.153,0.325263321380514,"Food",16
"FDX32",15.1,"Regular",0.1000135,"Fruits and Vegetables",145.4786,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1589.2646,0.148212734980324,"Food",14
"FDS46",17.6,"Regular",0.047257328,"Snack Foods",119.6782,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2145.2076,0.313184523162787,"Food",16
"FDF32",16.35,"Low Fat",0.0680243,"Fruits and Vegetables",196.4426,"OUT013",1987,"High","Tier 3","Supermarket Type1",1977.426,0.214918212946325,"Food",26
"FDP49",9,"Regular",0.069088961,"Breakfast",56.3614,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1547.3192,0.209830541512223,"Food",16
"NCB42",11.8,"Non-Edible",0.008596051,"Health and Hygiene",115.3492,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1621.8888,1.87268342992452,"Non-Consumable",4
"FDP49",9,"Regular",0.069196376,"Breakfast",54.3614,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",718.3982,0.252077187476548,"Food",14
"DRI11",11.576204620462,"Low Fat",0.034237682,"Hard Drinks",113.2834,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2303.668,0.40800253627539,"Drinks",28
"FDU02",13.35,"Low Fat",0.10249212,"Dairy",230.5352,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2748.4224,0.142908651103068,"Food",9
"FDN22",18.85,"Regular",0.138190277,"Snack Foods",250.8724,"OUT013",1987,"High","Tier 3","Supermarket Type1",3775.086,0.132371038870241,"Food",26
"FDW12",12.2752111111111,"Regular",0.035399923,"Baking Goods",144.5444,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4064.0432,0.430629524528481,"Food",28
"NCB30",14.6,"Non-Edible",0.025698134,"Household",196.5084,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1587.2672,0.538837803692747,"Non-Consumable",9
"FDC37",12.2752111111111,"Low Fat",0.057556998,"Baking Goods",107.6938,"OUT019",1985,"Small","Tier 1","Grocery Store",214.3876,0.427003476462079,"Food",28
"FDR28",13.85,"Regular",0.025896485,"Frozen Foods",165.021,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4078.025,0.576066381188303,"Food",16
"NCD06",13,"Non-Edible",0.099887103,"Household",45.906,"OUT017",2007,"Small","Tier 2","Supermarket Type1",838.908,0.147492974652349,"Non-Consumable",6
"FDV10",7.645,"Regular",0.066693437,"Snack Foods",42.3112,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1065.28,0.20408499058386,"Food",9
"DRJ59",11.65,"Low Fat",0.019356132,"Hard Drinks",39.1164,"OUT013",1987,"High","Tier 3","Supermarket Type1",308.9312,0.744446688211469,"Drinks",26
"FDE51",5.925,"Regular",0.161466534,"Dairy",45.5086,"OUT010",1998,"Small","Tier 3","Grocery Store",178.4344,0.14356927477448,"Food",15
